candidate_name,candidate_id,year,office,district,TOT,FND,COMM,ADS,INFO,OVERHEAD,CONTRIB,GENERAL,LOGTOT,LOGFND,LOGCOMM,LOGADS,LOGINFO,LOGOVERHEAD,LOGCONTRIB,LOGGENERAL
"WIENER, SCOTT D.",1376435,2016,S,11,3603044.37,99346.12,562031.21,902377.1000000001,350905.9,1456769.16,3000.0,1914660.33,15.097289704392123,11.506365193367316,13.239312661141712,13.712787782630887,12.768273375337051,14.19173163748447,8.006367567650246,14.465050791496221
"CIARDELLA, RICHARD",1383605,2016,S,13,2014.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,7.607878073278507,0.0,0.0,0.0,0.0,7.607878073278507,0.0,0.0
"HILL, JERRY A.",1290757,2016,S,13,825028.22,107656.54,123420.0,4587.08,88750.0,191760.57,175047.0,324413.62,13.623172870792411,11.586701253385613,11.723348451875058,8.430998935038067,11.393578707337662,12.164002841569431,12.072809788275373,12.689774585545493
"BEALL, JIM",1251768,2016,S,15,2997005.47,135713.73,174643.41,1447610.61,92882.73000000001,399365.64999999997,43295.22,1850850.48,14.913124171455626,11.818303019776184,12.070501516915012,14.185424900017619,11.439093008704672,12.897632692259286,10.675797515287169,14.431155810335058
"CAMPOS, NORA",1318599,2016,S,15,750221.94,28779.83,246978.21,2000.0,73330.58,68174.84,24563.480000000003,351088.62,13.528124361736806,10.267430073544135,12.41705539309514,7.600902459542082,11.202732990506995,11.129830860809678,10.109016066034535,12.768793949213116
"KAIN, PALMER",1363609,2016,S,17,30762.95,857.0,3514.2,0.0,8530.98,16568.04,150.0,12902.18,10.33406632279224,6.75343791859778,8.164567182323792,0.0,9.051459522514902,9.715230817365118,5.0106352940962555,9.465151568320245
"MONNING, WILLIAM W.",1297947,2016,S,17,674605.59,36039.98,2785.63,29470.77,233787.38,98893.68000000001,191443.79,302083.76,13.42188348796729,10.492384156783164,7.9322293386285345,10.291154203656436,12.362167348804485,11.50180061263667,12.162349519711823,12.618459608895707
"JACKSON, HANNAH-BETH",1005197,2016,S,19,654468.07,5337.3,55443.43,0.0,95472.84,322418.17999999993,122666.85,156253.56999999998,13.391578077809735,8.582475186108839,10.923118500636866,0.0,11.466597088114309,12.683604677602942,11.717227423047058,11.959235415337636
"WALCH, COLIN",1383292,2016,S,19,2699.0,0.0,150.42,0.0,0.0,2548.58,0.0,150.42,7.900636613018005,0.0,5.013431381398257,0.0,0.0,7.843291620301731,0.0,5.013431381398257
"ERVIN, JOHNATHON",1375590,2016,S,21,1065872.56,7787.09,47721.91,550912.85,114116.32,286964.38999999996,13359.85,720538.17,13.879304326842716,8.960222513234608,10.773145900557557,13.21933190865619,11.6449735580497,12.567113410388561,9.500009219482697,13.487753670117714
