,candidate_name,candidate_id,election,office,district,year
53,"MC CARTY, KEVIN",1314046,2016 GENERAL,A,7,2016
54,"BLOISE, NICK E.",1383732,2016 GENERAL,A,8,2016
55,"COOLEY, KEN",1240640,2016 GENERAL,A,8,2016
56,"COOPER, JIM",1354349,2016 GENERAL,A,9,2016
57,"GORSULOWSKY, TIMOTHY S.",1364380,2016 GENERAL,A,9,2016
58,"JACOBI, VERONICA S.",1363625,2016 GENERAL,A,10,2016
59,"LEVINE, MARC",1338897,2016 GENERAL,A,10,2016
60,"FRAZIER JR., JAMES L.",1341572,2016 GENERAL,A,11,2016
61,"MILLER, DAVID J.",1378817,2016 GENERAL,A,11,2016
62,"FLORA, HEATH",1376113,2016 GENERAL,A,12,2016
63,"VOGEL, KEN",1359744,2016 GENERAL,A,12,2016
64,"EGGMAN, SUSAN",1337454,2016 GENERAL,A,13,2016
65,"LINCOLN, KEVIN",1383977,2016 GENERAL,A,13,2016
66,"GRAYSON, TIM",1376434,2016 GENERAL,A,14,2016
67,"TORLAKSON, MAE",1382779,2016 GENERAL,A,14,2016
68,"CHIARA, CLAIRE",1382452,2016 GENERAL,A,15,2016
69,"THURMOND, TONY",1295704,2016 GENERAL,A,15,2016
70,"BAKER, CATHARINE",1358730,2016 GENERAL,A,16,2016
71,"COOK-KALLIO, CHERYL",1381102,2016 GENERAL,A,16,2016
72,"CHIU, DAVID",1360423,2016 GENERAL,A,17,2016
73,"DEL CARLO, MATTHEW S.",1346011,2016 GENERAL,A,17,2016
74,"BONTA, ROB",1339733,2016 GENERAL,A,18,2016
75,"SLONSKY-BREAULT, ROSEANN",1382453,2016 GENERAL,A,18,2016
76,"TAYLOR, CARLOS",1383127,2016 GENERAL,A,19,2016
77,"TING, PHIL",1343138,2016 GENERAL,A,19,2016
78,"QUIRK, BILL (WILLIAM J.)",1336944,2016 GENERAL,A,20,2016
79,"WONG, LUIS A.",1383284,2016 GENERAL,A,20,2016
80,"GRAY, ADAM C.",1315410,2016 GENERAL,A,21,2016
81,"OPINSKI, GREGORY J.",1383342,2016 GENERAL,A,21,2016
82,"MULLIN, KEVIN",1342937,2016 GENERAL,A,22,2016
83,"KIESEL, ART",1382152,2016 GENERAL,A,22,2016
84,"MORRIS, GWEN L",1381100,2016 GENERAL,A,23,2016
85,"PATTERSON, JIM",1346007,2016 GENERAL,A,23,2016
86,"BERMAN, MARC",1317907,2016 GENERAL,A,24,2016
87,"VEENKER, VICKI",1380629,2016 GENERAL,A,24,2016
88,"BRUNTON, BOB",1363959,2016 GENERAL,A,25,2016
89,"CHU, KANSEN",1356482,2016 GENERAL,A,25,2016
90,"MACARENO, RUBEN",1362534,2016 GENERAL,A,26,2016
91,"MATHIS, DEVON J.",1365277,2016 GENERAL,A,26,2016
92,"KALRA, ASH",1372978,2016 GENERAL,A,27,2016
93,"NGUYEN, MADISON",1376419,2016 GENERAL,A,27,2016
94,"LOW, EVAN",1335519,2016 GENERAL,A,28,2016
95,"SCLAVOS, NICHOLAS C",1383003,2016 GENERAL,A,28,2016
96,"ROBERTS, SIERRA",1383589,2016 GENERAL,A,29,2016
97,"STONE, MARK",1340922,2016 GENERAL,A,29,2016
98,"CABALLERO, ANNA",1282323,2016 GENERAL,A,30,2016
99,"CERVANTEZ ALEJO, KARINA",1375810,2016 GENERAL,A,30,2016
100,"ARAMBULA, JOAQUIN",1377114,2016 GENERAL,A,31,2016
101,"OLIVIER, CLINT",1377649,2016 GENERAL,A,31,2016
102,"RAMIREZ, MANUEL A.",1386656,2016 GENERAL,A,32,2016
103,"SALAS JR., RUDY",1340989,2016 GENERAL,A,32,2016
104,"MARKOVICH, PETER SCOTT",1359129,2016 GENERAL,A,33,2016
105,"OBERNOLTE, JAY",1362835,2016 GENERAL,A,33,2016
106,"FONG, VINCENT",1381906,2016 GENERAL,A,34,2016
