candidate_filer_id,committee_filer_id,link_type,session,active,effective_date,termination_date
1000241,1018509,-12011,,I,12/24/77,
1000241,1040537,-12011,1977,I,12/24/77,
1000242,1024908,-12011,,I,12/24/77,
1000243,1023126,-12011,,I,12/24/77,
1000243,1038884,12015,,I,12/24/77,
1000243,1047827,12015,,I,12/24/77,
1000243,1058374,-12011,1993,I,8/24/93,
1000243,1041042,12015,,I,12/24/77,
1000244,1025390,12015,,I,12/24/77,
1000244,1019135,-12011,,I,12/24/77,
1000244,1018609,-12011,,I,12/24/77,
1000246,1037133,12015,,I,12/24/77,
1000246,1020212,12015,,I,12/24/77,
1000247,1018357,-12011,,I,12/24/77,
1000248,1024991,-12011,,I,12/24/77,
1000251,1025777,12014,,I,12/24/77,
1000251,1021767,-12011,,I,12/24/77,
1000251,1019895,-12011,,I,12/24/77,
1000252,1021791,12015,,I,12/24/77,
1000252,1034439,12015,,I,12/24/77,
1000252,1026531,-12011,,I,12/24/77,
1000254,1025889,-12011,,I,12/24/77,
1000254,1033838,12015,,I,12/24/77,
1000254,1019019,-12011,,I,12/24/77,
1000255,1018452,-12011,,I,12/24/77,
1000255,1021986,12011,,I,12/24/77,
1000256,1025254,-12011,,I,12/24/77,
1000256,1025648,12014,,I,12/24/77,
1000256,1025804,12014,,I,12/24/77,
1000259,1025154,-12011,,I,12/24/77,
1000260,1025142,-12011,,I,12/24/77,
1000265,1027989,-12011,,I,12/24/77,
1000267,1025081,-12011,,I,12/24/77,
1000267,1032606,12015,,I,12/24/77,
1000267,1025223,12015,,I,12/24/77,
1000268,1023870,-12011,,I,12/24/77,
1000269,1024218,12015,,I,12/24/77,
1000270,1018397,-12011,,I,12/24/77,
1000270,1025685,12014,,I,12/24/77,
1000271,1022343,-12011,,I,12/24/77,
1000272,1019877,-12011,,I,12/24/77,
1000272,1047431,12015,,I,12/24/77,
1000272,1018428,12011,,I,12/24/77,
1000273,1062526,-12011,1994,I,6/22/94,
1000274,1019699,-12011,,I,12/24/77,
1000274,1019698,-12011,,I,12/24/77,
1000275,1069594,-12011,1996,I,12/5/96,
1000275,1070215,-12011,1998,Y,4/6/98,
1000275,1049923,12015,,I,12/24/77,
1000275,1069594,12011,1995,Y,12/5/96,
1000276,1024671,-12011,,I,12/24/77,
1000276,1030114,-12011,,I,12/24/77,
1000277,1018398,-12011,,I,12/24/77,
1000277,1047379,12015,,I,12/24/77,
1000279,1021694,12015,,I,12/24/77,
1000280,1018336,-12011,,I,12/24/77,
1000281,1025613,12014,,I,12/24/77,
1000281,1018758,-12011,,I,12/24/77,
1000281,1021694,-12011,,I,12/24/77,
1000281,1025219,12015,,I,12/24/77,
1000282,1023457,-12011,,I,12/24/77,
1000283,1024237,-12011,,I,12/24/77,
1000283,1024409,-12011,,I,12/24/77,
1000284,1022692,-12011,,I,12/24/77,
1000284,1022027,-12011,,I,12/24/77,
1000284,1043503,12015,,I,12/24/77,
1000284,1047611,12015,,I,12/24/77,
1000284,1044761,-12011,1992,I,1/8/92,
1000284,1027064,-12011,,I,12/24/77,
1000284,1047612,12015,,I,12/24/77,
1000284,1024417,12011,,I,12/24/77,
1000285,1022633,12011,,I,12/24/77,
1000286,1020316,12015,,I,12/24/77,
1000286,1053056,-12011,1991,I,4/11/91,
1000286,1057947,-12011,1993,I,1/22/93,
1000286,1059376,-12011,1996,I,3/12/96,
1000286,1022917,-12011,,I,12/24/77,
1000286,1075972,12011,1999,T,2/22/00,
1000286,1284361,12011,2005,Y,3/13/06,
1000286,1323201,12011,2009,Y,12/18/09,
1000286,1364275,12011,2013,Y,2/26/14,
1000286,1047525,12011,1999,T,1/5/00,
1000287,1022045,-12011,,I,12/24/77,
1000287,1023031,12015,,I,12/24/77,
1000287,1034316,12015,,I,12/24/77,
1000288,1025614,12014,,I,12/24/77,
1000288,1024310,12011,,I,12/24/77,
1000289,1021552,-12011,,I,12/24/77,
1000289,1019508,12015,,I,12/24/77,
1000289,1036985,12015,,I,12/24/77,
1000289,1022895,12011,,I,12/24/77,
1000291,1024139,-12011,,I,12/24/77,
1000292,1020312,-12011,,I,12/24/77,
1000292,1026680,-12011,,I,12/24/77,
1000294,1024348,-12011,,I,12/24/77,
1000294,1024348,12011,1999,I,1/5/00,2/3/00
1000295,1021663,-12011,,I,12/24/77,
1000295,1039322,12015,,I,12/24/77,
1000295,1027830,12015,,I,12/24/77,
1000295,1025783,12014,,I,12/24/77,
1000295,1018668,12011,,I,12/24/77,
1000296,1044976,12015,,I,12/24/77,
1000297,1018406,-12011,,I,12/24/77,
1000297,1023026,12015,,I,12/24/77,
1000298,1024544,-12011,,I,12/24/77,
1000298,1025456,-12011,,I,12/24/77,
1000299,1024942,-12011,,I,12/24/77,
1000300,1020270,-12011,,I,12/24/77,
1000301,1018827,-12011,,I,12/24/77,
1000301,1018827,12011,1999,T,1/5/00,
1000302,1053255,-12011,1991,I,7/19/91,
1000302,1049445,-12011,1992,I,1/9/92,
1000302,1064453,-12011,1994,I,12/14/94,
