candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
John M. W. Moorlach,S,37,REP,2016,228480,400935,56.98679337049647,228480,1,0
Armineh Chelebian,A,40,REP,2008,32973,123572,26.68322921050076,72360,0,0
Bob Blumenfield,A,40,DEM,2008,72360,123572,58.55695464992069,72360,1,0
Pamela J. Brown,A,40,LIB,2008,18239,123572,14.759816139578547,72360,0,0
Arne Simonsen,A,11,REP,2006,31048,103845,29.89840627858828,69054,0,0
Cory Nott,A,11,LIB,2006,3743,103845,3.60441041937503,69054,0,0
Mark DeSaulnier,A,11,DEM,2006,69054,103845,66.49718330203669,69054,1,0
Art Kiesel,A,22,REP,2016,51046,199335,25.60814708907116,148289,0,0
Kevin Mullin,A,22,DEM,2016,148289,199335,74.39185291092883,148289,1,1
Arthur Bravo Guerrero,S,37,DEM,2008,157142,347557,45.21330314164295,190415,0,0
John J. Benoit,S,37,REP,2008,190415,347557,54.78669685835704,190415,1,0
Ash Kalra,A,27,DEM,2016,71696,134744,53.209048269310685,71696,1,0
Madison Nguyen,A,27,DEM,2016,63048,134744,46.79095173068931,71696,0,0
Atul Saini,A,23,REP,2010,19494,78123,24.952958795745168,58629,0,0
Nora Campos,A,23,DEM,2010,58629,78123,75.04704120425482,58629,1,0
Audra Strickland,A,37,REP,2006,78493,136798,57.378762847410044,78493,1,1
Ferial Masry,A,37,DEM,2006,58305,136798,42.621237152589956,78493,0,0
Audra Strickland,A,37,REP,2008,102087,195944,52.100089821581676,102087,1,1
Ferial Masry,A,37,DEM,2008,93857,195944,47.899910178418324,102087,0,0
Autumn Burke,A,62,DEM,2014,54304,71565,75.88066792426466,54304,1,0
Ted J. Grose,A,62,REP,2014,17261,71565,24.119332075735343,54304,0,0
Autumn Burke,A,62,DEM,2016,123699,160285,77.17440808559753,123699,1,1
Baron Bruno,A,62,LIB,2016,8958,160285,5.588794958979318,123699,0,0
"Marco Antonio ""Tony"" Leal",A,62,REP,2016,27628,160285,17.236796955423152,123699,0,0
Barbara Decker,A,78,REP,2014,45088,117312,38.43426077468631,72224,0,0
Toni Atkins,A,78,DEM,2014,72224,117312,61.5657392253137,72224,1,1
Barbara McIver,A,2,DEM,2004,62643,178294,35.13466521587939,115651,0,0
Doug La Malfa,A,2,REP,2004,115651,178294,64.8653347841206,115651,1,1
Barbara S. Matthews,A,17,DEM,2004,66926,110592,60.51613136574075,66926,1,1
