candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
"Victor M. Valenzuela, Jr.",A,57,REP,2004,33494,106354,31.49293867649548,72860,0,0
Ed Hernandez,A,57,DEM,2006,44025,69815,63.0595144309962,44025,1,0
Holly Carver,A,57,REP,2006,25790,69815,36.9404855690038,44025,0,0
Ed Hernandez,A,57,DEM,2008,71953,108529,66.2984087202499,71953,1,1
Victor Saldana,A,57,REP,2008,36576,108529,33.70159127975011,71953,0,0
Ed Hernandez,S,22,DEM,2014,63570,98038,64.84220404333014,63570,1,0
Marc Rodriguez,S,22,REP,2014,34468,98038,35.157795956669865,63570,0,0
Ed Hernandez,S,24,DEM,2010,112792,112814,99.9804988742532,112792,1,0
William Rodriguez Morrison,S,24,REP (W/I),2010,22,112814,0.019501125746804474,112792,0,0
Ed Musgrave,S,2,NP (W/I),2010,10,300625,0.0033264033264033266,190474,0,0
Lawrence R. Wiesner,S,2,REP,2010,110141,300625,36.63733887733888,190474,0,0
Noreen Evans,S,2,DEM,2010,190474,300625,63.35933471933471,190474,1,0
Eduardo Garcia,A,56,DEM,2016,93090,93090,100.0,93090,1,1
Edward Fuller,A,37,NPP,2016,71944,200288,35.92027480428183,128344,0,0
S. Monique Limón,A,37,DEM,2016,128344,200288,64.07972519571817,128344,1,0
Edward Headington,A,38,DEM,2012,75864,175933,43.12096082031228,100069,0,0
Scott Thomas Wilk,A,38,REP,2012,100069,175933,56.879039179687716,100069,1,0
Edward M. Teyssier,A,75,LIB,2006,3856,134658,2.8635506245451436,77921,0,0
George A. Plescia,A,75,REP,2006,77921,134658,57.86585275289994,77921,1,1
Scott Meyer,A,75,DEM,2006,52881,134658,39.27059662255491,77921,0,0
Edward Ritchie,A,3,DEM,2016,63867,172777,36.964989553007634,108910,0,0
James Gallagher,A,3,REP,2016,108910,172777,63.035010446992366,108910,1,1
Edward Ytuarte,A,16,PF,2006,10071,101767,9.896135289435671,91696,0,0
Sandre R. Swanson,A,16,DEM,2006,91696,101767,90.10386471056432,91696,1,0
"Edwin ""Ed"" Chau",A,49,DEM,2012,64791,114944,56.36744849665924,64791,1,0
Matthew Lin,A,49,REP,2012,50153,114944,43.63255150334076,64791,0,0
Edwin R. Williams,A,55,REP,2008,33420,118017,28.317954193039984,84597,0,0
Warren Furutani,A,55,DEM,2008,84597,118017,71.68204580696002,84597,1,0
Eileen MacEnery,A,44,DEM,2012,76805,162937,47.13785082577929,86132,0,0
Jeff Gorell,A,44,REP,2012,86132,162937,52.862149174220704,86132,1,0
Elaine Alquist,S,13,DEM,2008,179855,253547,70.9355661869397,179855,1,1
John H. Webster,S,13,LIB,2008,16659,253547,6.570379456274379,179855,0,0
Shane Patrick Connolly,S,13,REP,2008,57033,253547,22.494054356785924,179855,0,0
Elaine D. Shaw,A,15,DEM,2004,91709,204788,44.7824091255347,113079,0,0
Guy S. Houston,A,15,REP,2004,113079,204788,55.21759087446531,113079,1,0
Eli Wallace Conroe,A,79,LIB,2004,13584,92176,14.7370248220795,78565,0,0
Juan Vargas,A,79,DEM,2004,78565,92176,85.23368338830065,78565,1,1
Petra E. Barajas,A,79,(W/I),2004,27,92176,0.029291789619857664,78565,0,0
Elizabeth Echols,A,15,DEM,2014,56071,122732,45.685721735162794,66661,0,0
Tony Thurmond,A,15,DEM,2014,66661,122732,54.3142782648372,66661,1,0
Elizabeth R. Hansen,A,11,REP,2008,42023,159796,26.297904828656538,117773,0,0
Tom Torlakson,A,11,DEM,2008,117773,159796,73.70209517134346,117773,1,0
Ellen Corbett,S,10,DEM,2006,136846,186484,73.38216683468823,136846,1,0
Lou Filipovich,S,10,REP,2006,49638,186484,26.617833165311772,136846,0,0
Ellen M. Corbett,S,10,DEM,2010,139799,209932,66.59251567174132,139799,1,0
Ivan Chou,S,10,AI,2010,11871,209932,5.654688184745536,139799,0,0
Rob Maffit,S,10,REP,2010,58262,209932,27.752796143513137,139799,0,0
Elsie Gufler,A,19,REP,2006,30908,119757,25.80892974940922,88849,0,0
Gene Mullin,A,19,DEM,2006,88849,119757,74.19107025059078,88849,1,1
Eric F. Linder,A,60,REP,2016,64710,142114,45.53386717705504,77404,0,1
Sabrina Cervantes,A,60,DEM,2016,77404,142114,54.46613282294496,77404,1,0
Eric F. Linder,A,60,REP,2012,60638,117043,51.80830976649607,60638,1,0
Jos̩ Luis Perez,A,60,DEM,2012,56405,117043,48.19169023350393,60638,0,0
Eric F. Linder,A,60,REP,2014,34348,55856,61.49384130621598,34348,1,1
Ken Park,A,60,DEM,2014,21508,55856,38.506158693784016,34348,0,0
Eric Shooter Hickok,A,22,REP,2010,30143,111122,27.126041647918502,74501,0,0
Paul Fong,A,22,DEM,2010,74501,111122,67.04432965569374,74501,1,1
T.J. Campbell,A,22,LIB,2010,6478,111122,5.829628696387754,74501,0,0
Ernie Konnyu,A,24,REP,2004,55956,158493,35.30502924419375,94152,0,0
Lawrence R. Hileman,A,24,(W/I),2004,7,158493,0.004416598840327334,94152,0,0
Michael Roy,A,24,(W/I),2004,41,158493,0.025868650350488666,94152,0,0
Rebecca Cohn,A,24,DEM,2004,94152,158493,59.40451628778558,94152,1,1
"Zander Y. Collier, III",A,24,LIB,2004,8337,158493,5.260169218829853,94152,0,0
Esthela G. Siegrist,A,49,REP,2006,18021,62212,28.96708030605028,39326,0,0
Laura Brown,A,49,LIB,2006,4865,62212,7.820034719989713,39326,0,0
Mike Eng,A,49,DEM,2006,39326,62212,63.21288497396,39326,1,0
Esthela G. Torres Siegrist,A,49,REP,2008,30511,92929,32.83259262447675,62418,0,0
Mike Eng,A,49,DEM,2008,62418,92929,67.16740737552325,62418,1,1
Ethan M. Boivie,A,53,LIB,2004,8942,188631,4.740472138725872,95156,0,0
Greg Hill,A,53,REP,2004,79505,188631,42.14842735287413,95156,0,0
James R. Smith,A,53,PF,2004,5028,188631,2.6655215738664375,95156,0,0
Mike Gordon,A,53,DEM,2004,95156,188631,50.445578934533565,95156,1,0
Eugene Ruyle,A,15,PF,2012,25167,190096,13.239100244087199,164929,0,0
Nancy Skinner,A,15,DEM,2012,164929,190096,86.7608997559128,164929,1,0
Evan Low,A,28,DEM,2016,136547,195188,69.95665717154743,136547,1,1
Nicholas Sclavos,A,28,REP,2016,58641,195188,30.04334282845257,136547,0,0
F. Aaron Smith,A,7,LIB,2004,5051,168216,3.002687021448614,101130,0,0
Noreen Evans,A,7,DEM,2004,101130,168216,60.11913254387217,101130,1,0
Pat Krueger,A,7,REP,2004,62035,168216,36.87818043467922,101130,0,0
Fabian Nunez,A,46,DEM,2004,44570,52407,85.04589081611235,44570,1,1
"Manuel ""Manny"" Aldana, Jr.",A,46,REP,2004,7837,52407,14.954109183887649,44570,0,0
Fabian Nunez,A,46,DEM,2006,30518,30518,100.0,30518,1,1
Felipe Fuentes,A,39,DEM,2008,59495,80689,73.73371835070456,59495,1,0
Grady D. Martine,A,39,REP,2008,14689,80689,18.204464053340605,59495,0,0
John Paul (Jack) Lindblad,A,39,GRN,2008,6505,80689,8.061817595954839,59495,0,0
Felipe Fuentes,A,39,DEM,2010,43267,55172,78.42202566519248,43267,1,1
John Paul (Jack) Lindblad,A,39,GRN,2010,11905,55172,21.57797433480751,43267,0,0
Ferial Masry,A,37,DEM,2010,64413,155062,41.54015813029627,90649,0,0
Jeff Gorell,A,37,REP,2010,90649,155062,58.45984186970373,90649,1,0
"Fotios ""Frank"" Tsimboukakis",S,38,DEM,2014,66066,212576,31.07876712328767,146510,0,0
Joel Anderson,S,38,REP,2014,146510,212576,68.92123287671232,146510,1,0
Fran Pavley,A,41,DEM,2004,106761,178823,59.70205174949531,106761,1,1
Heather Peters,A,41,REP,2004,64029,178823,35.80579679347735,106761,0,0
Richard P. Koffler,A,41,LIB,2004,8033,178823,4.49215145702734,106761,0,0
Fran Pavley,S,27,DEM,2012,197757,369195,53.56437654897819,197757,1,0
Todd Zink,S,27,REP,2012,171438,369195,46.43562345102182,197757,0,0
Frank Bigelow,A,5,REP,2012,82293,157364,52.294679850537605,82293,1,0
Rico Oller,A,5,REP,2012,75071,157364,47.705320149462395,82293,0,0
Frank Bigelow,A,5,REP,2014,88602,119337,74.24520475627844,88602,1,1
Patrick D. Hogan,A,5,LIB,2014,30735,119337,25.754795243721563,88602,0,0
Frank Bigelow,A,5,REP,2016,121644,188593,64.50080331719629,121644,1,1
Robert Carabas,A,5,DEM,2016,66949,188593,35.499196682803706,121644,0,0
Frank Manske,A,11,LIB,2004,7162,143512,4.990523440548525,95912,0,0
Joe Canciamilla,A,11,DEM,2004,95912,143512,66.83204191983945,95912,1,1
Paul Santiago,A,11,REP,2004,40438,143512,28.17743463961202,95912,0,0
Frank Miranda,S,3,REP,2012,119033,352439,33.77407154145824,233406,0,0
Lois Wolk,S,3,DEM,2012,233406,352439,66.22592845854176,233406,1,0
Fred B. Davis,S,18,DEM,2006,59187,211877,27.93460356716397,147767,0,0
Matthew Rick,S,18,GRN,2006,4923,211877,2.3235178900966127,147767,0,0
Roy Ashburn,S,18,REP,2006,147767,211877,69.74187854273943,147767,1,1
Freddie Rodriguez,A,52,DEM,2016,64836,109701,59.10246943965871,64836,1,1
Paul Vincent Avila,A,52,DEM,2016,44865,109701,40.89753056034129,64836,0,0
G. Burt Lancaster,A,27,REP,2014,21779,71195,30.59063136456212,49416,0,0
Nora Campos,A,27,DEM,2014,49416,71195,69.40936863543789,49416,1,1
Gail E. Neira,A,13,REP,2004,23900,181743,13.150437705991427,148863,0,0
Jonathan Scott Marvin,A,13,LIB,2004,8980,181743,4.9410431213306705,148863,0,0
Mark Leno,A,13,DEM,2004,148863,181743,81.90851917267791,148863,1,1
Gary Jeandron,A,80,REP,2008,63085,133225,47.352223681741414,70140,0,0
Manuel Perez,A,80,DEM,2008,70140,133225,52.647776318258586,70140,1,0
Gary Kephart,A,71,DEM,2010,49792,146950,33.88363388907792,97158,0,0
Jeff Miller,A,71,REP,2010,97158,146950,66.11636611092209,97158,1,1
Gary Kephart,S,36,DEM,2014,73539,214149,34.340108989535324,140610,0,0
"Patricia C. ""Pat"" Bates",S,36,REP,2014,140610,214149,65.65989101046468,140610,1,0
Gary L. Kirkland,A,33,LIB,2004,9502,177461,5.354415899831512,99864,0,0
Sam Blakeslee,A,33,REP,2004,99864,177461,56.2737728289596,99864,1,0
Stew Jenkins,A,33,DEM,2004,57673,177461,32.49897160502871,99864,0,0
Tom Hutchings,A,33,GRN,2004,10422,177461,5.872839666180175,99864,0,0
Gary Pritchard,S,33,DEM,2008,157945,377013,41.89378085105819,219068,0,0
Mimi Walters,S,33,REP,2008,219068,377013,58.10621914894182,219068,1,0
Geof Gibson,A,78,LIB,2006,3324,102153,3.2539426154885316,51983,0,0
Maxine Sherard,A,78,DEM,2006,46846,102153,45.858662985913284,51983,0,0
Shirley Horton,A,78,REP,2006,51983,102153,50.88739439859818,51983,1,1
George A. Plescia,A,75,REP,2004,108728,181750,59.82283356258598,108728,1,1
Karen Heumann,A,75,DEM,2004,69017,181750,37.97359009628611,108728,0,0
Richard J. Senecal,A,75,LIB,2004,4005,181750,2.2035763411279228,108728,0,0
George Plescia,S,39,REP,2012,157305,378317,41.58020918964784,221012,0,0
Marty Block,S,39,DEM,2012,221012,378317,58.41979081035217,221012,1,0
George R. Williams,A,79,AI,2014,30266,79530,38.05607946686785,49264,0,0
Shirley N. Weber,A,79,DEM,2014,49264,79530,61.94392053313214,49264,1,0
George Reis,A,69,LIB,2004,4470,62797,7.1181744350844784,38516,0,0
Otto Bade,A,69,REP,2004,19811,62797,31.547685398984026,38516,0,0
Tom Umberg,A,69,DEM,2004,38516,62797,61.334140165931494,38516,1,0
"Gerald ""Gerry"" Manata",A,35,DEM,2012,65500,169262,38.697404024530016,103762,0,0
"K.H. ""Katcho"" Achadjian",A,35,REP,2012,103762,169262,61.302595975469984,103762,1,0
Gil Cedillo,A,45,DEM,2010,53745,64469,83.3656486063069,53745,1,0
Suzanne Olivos,A,45,REP,2010,10724,64469,16.63435139369309,53745,0,0
Gila Jones,S,38,DEM,2010,96884,281838,34.37577615509619,169769,0,0
Kristi Stone,S,38,LIB,2010,15185,281838,5.387846919152137,169769,0,0
Mark Wyland,S,38,REP,2010,169769,281838,60.23637692575168,169769,1,1
Gilbert Cedillo,S,22,DEM,2006,71199,93249,76.35363381912943,71199,1,0
Mike Ten,S,22,REP,2006,18581,93249,19.926219047925446,71199,0,0
Murray Levy,S,22,LIB,2006,3469,93249,3.720147132945125,71199,0,0
Ginny Mayer,S,35,DEM,2008,157271,379420,41.45037161984081,222149,0,0
Tom Harman,S,35,REP,2008,222149,379420,58.54962838015919,222149,1,0
Gladys O. Miller,A,50,REP,2004,19091,75918,25.146868990226295,56827,0,0
Hector De La Torre,A,50,DEM,2004,56827,75918,74.8531310097737,56827,1,0
Gladys O. Miller,A,50,REP,2006,11210,50229,22.31778454677577,39019,0,0
Hector De La Torre,A,50,DEM,2006,39019,50229,77.68221545322423,39019,1,1
Gladys O. Miller,A,50,REP,2010,13452,60128,22.372272485364554,46676,0,0
Ricardo Lara,A,50,DEM,2010,46676,60128,77.62772751463545,46676,1,0
Glen Ratcliff,A,54,REP,2014,17506,83588,20.943197588170552,66082,0,0
Sebastian Mark Ridley Thomas,A,54,DEM,2014,66082,83588,79.05680241182945,66082,1,0
Glen Ratcliff,A,54,REP,2016,33119,179842,18.41560925701449,146723,0,0
Sebastian Ridley-Thomas,A,54,DEM,2016,146723,179842,81.58439074298552,146723,1,0
Gloria Negrete McLeod,S,32,DEM,2006,85301,85301,100.0,85301,1,0
Gloria Romero,S,24,DEM,2006,92498,124886,74.06594814470797,92498,1,1
Robert Carver,S,24,REP,2006,32388,124886,25.93405185529203,92498,0,0
Grace Hu,A,56,REP,2006,31991,75657,42.28425657903433,43666,0,0
Tony Mendoza,A,56,DEM,2006,43666,75657,57.71574342096567,43666,1,0
Greg Aghazarian,A,26,REP,2004,78381,125305,62.55217269861538,78381,1,1
"Tim Weintz, Sr.",A,26,DEM,2004,46924,125305,37.44782730138462,78381,0,0
Greg Aghazarian,A,26,REP,2006,54703,93693,58.38536496856756,54703,1,1
Kenneth J. Goeken,A,26,DEM,2006,38990,93693,41.61463503143244,54703,0,0
Greg Aghazarian,S,5,REP,2008,113778,320886,35.45745217927862,207108,0,0
Lois Wolk,S,5,DEM,2008,207108,320886,64.54254782072138,207108,1,0
Greg Conlon,A,21,REP,2010,52809,149661,35.28574578547518,89927,0,0
"Ray M. Bell, Jr.",A,21,LIB,2010,6925,149661,4.627123966831706,89927,0,0
Rich Gordon,A,21,DEM,2010,89927,149661,60.087130247693125,89927,1,0
Greg Diamond,S,29,DEM,2012,131228,292140,44.919559115492575,160912,0,0
"Robert ""Bob"" Huff",S,29,REP,2012,160912,292140,55.08044088450743,160912,1,1
Greg Krikorian,A,43,REP,2012,63251,158924,39.79952681785004,95673,0,0
Mike Gatto,A,43,DEM,2012,95673,158924,60.20047318214996,95673,1,1
Gregg D. Fritchle,A,55,DEM,2014,30895,85208,36.258332550934185,54313,0,0
Ling-Ling Chang,A,55,REP,2014,54313,85208,63.74166744906582,54313,1,0
Gregg D. Fritchle,A,55,DEM,2016,72471,171431,42.27415111619252,98960,0,0
Phillip Chen,A,55,REP,2016,98960,171431,57.72584888380749,98960,1,0
Gregory Allen,A,10,REP,2014,35999,141635,25.41674021251809,105636,0,0
Marc Levine,A,10,DEM,2014,105636,141635,74.58325978748191,105636,1,1
Gregory Gandrud,A,35,REP,2008,58244,177857,32.74765682542717,119613,0,0
Pedro Nava,A,35,DEM,2008,119613,177857,67.25234317457283,119613,1,1
Grey Kenneth Frandsen,A,66,DEM,2008,69040,164133,42.06344854477771,95093,0,0
Kevin D. Jeffries,A,66,REP,2008,95093,164133,57.936551455222286,95093,1,0
Guy S. Houston,A,15,REP,2006,89039,162505,54.791544875542286,89039,1,1
Terry Coleman,A,15,DEM,2006,73466,162505,45.20845512445771,89039,0,0
Gwen L. Morris,A,23,REP,2016,39656,164809,24.06179274190123,125153,0,0
Jim Patterson,A,23,REP,2016,125153,164809,75.93820725809877,125153,1,1
Gwen Patrick,A,52,REP,2010,6399,54722,11.693651547823544,48323,0,0
Isadore Hall,A,52,DEM,2010,48323,54722,88.30634845217645,48323,1,1
Gwen S. Patrick,A,52,REP,2008,11700,84595,13.830604645664637,72895,0,0
Isadore Hall,A,52,DEM,2008,72895,84595,86.16939535433536,72895,1,0
Hannah-Beth Jackson,S,19,DEM,2008,207119,415109,49.89508779621738,207976,0,0
Peter Winfield Diederich,S,19,IND (W/I),2008,14,415109,0.0033726081583391352,207976,0,0
Tony Strickland,S,19,REP,2008,207976,415109,50.10153959562428,207976,1,0
Hannah-Beth Jackson,S,19,DEM,2012,180780,324599,55.69333238857791,180780,1,0
Mike Stoker,S,19,REP,2012,143819,324599,44.30666761142209,180780,0,0
Harinder Grewal,A,12,DEM,2014,30752,93755,32.800383979521094,63003,0,0
Kristin Olsen,A,12,REP,2014,63003,93755,67.1996160204789,63003,1,1
Harmeet K. Dhillon,A,13,REP,2008,32552,195529,16.648169836699413,162977,0,0
Tom Ammiano,A,13,DEM,2008,162977,195529,83.35183016330059,162977,1,0
Harmeet K. Dhillon,S,11,REP,2012,54887,358128,15.326084528436759,303241,0,0
Mark Leno,S,11,DEM,2012,303241,358128,84.67391547156325,303241,1,0
Heath Flora,A,12,REP,2016,81680,156113,52.32107511866404,81680,1,0
Ken Vogel,A,12,REP,2016,74433,156113,47.67892488133595,81680,0,0
Hector De La Torre,A,50,DEM,2008,75082,75082,100.0,75082,1,1
Hector Diaz,A,61,REP,2016,46924,137587,34.10496631222426,90663,0,0
Jose Medina,A,61,DEM,2016,90663,137587,65.89503368777574,90663,1,1
Heidi Harmon,A,35,DEM,2014,46126,123578,37.32541390862451,77452,0,0
Katcho Achadjian,A,35,REP,2014,77452,123578,62.67458609137548,77452,1,0
Henry J. Bestwick,A,56,REP,2010,30111,87054,34.58887587014956,56943,0,0
Tony Mendoza,A,56,DEM,2010,56943,87054,65.41112412985044,56943,1,1
Henry Stern,S,27,DEM,2016,218655,391482,55.85314267322635,218655,1,0
Steve Fazio,S,27,REP,2016,172827,391482,44.14685732677365,218655,0,0
Henry T. Perea,A,31,DEM,2012,55626,86908,64.00561513324435,55626,1,1
James (JD) Bennett,A,31,REP,2012,31282,86908,35.99438486675565,55626,0,0
Henry T. Perea,A,31,DEM,2014,36165,54182,66.74725923738511,36165,1,1
Walter O. Villarreal,A,31,NPP,2014,18017,54182,33.25274076261489,36165,0,0
Hilda Zacarias,A,33,DEM,2010,54817,146497,37.41851368970013,84629,0,0
"K.H. ""Katcho"" Achadjian",A,33,REP,2010,84629,146497,57.76841846590715,84629,1,0
Paul K. Polson,A,33,LIB,2010,7051,146497,4.813067844392719,84629,0,0
Holly J. Mitchell,A,47,DEM,2010,93541,116041,80.6103015313553,93541,1,0
Lady Cage,A,47,REP,2010,17195,116041,14.818038451926475,93541,0,0
Sean P. McGary,A,47,LIB,2010,5305,116041,4.571660016718229,93541,0,0
Holly J. Mitchell,A,54,DEM,2012,143530,172218,83.3420432242855,143530,1,0
Keith Brandon Mc Cowen,A,54,REP,2012,28688,172218,16.657956775714503,143530,0,0
Holly J. Mitchell,S,30,DEM,2014,78115,113557,68.78924240689697,78115,1,0
Isidro Armenta,S,30,DEM,2014,35442,113557,31.210757593103022,78115,0,0
Holly Spohn-Gross,A,32,DEM,2010,37892,135362,27.993085208551882,97470,0,0
Shannon Grove,A,32,REP,2010,97470,135362,72.00691479144811,97470,1,0
Honor Mimi Robson,S,33,LIB,2016,48316,226287,21.351646360595172,177971,0,0
Ricardo Lara,S,33,DEM,2016,177971,226287,78.64835363940482,177971,1,1
Horton Scioneaux,A,36,DEM,2004,45595,134960,33.784084173088324,89365,0,0
Sharon Runner,A,36,REP,2004,89365,134960,66.21591582691167,89365,1,1
Humberto Avila,A,29,DEM,2008,57100,167330,34.124185740751805,110230,0,0
Mike Villines,A,29,REP,2008,110230,167330,65.87581425924819,110230,1,1
Ian C. Calderon,A,57,DEM,2014,32284,62681,51.50524082257781,32284,1,0
Rita Topalian,A,57,REP,2014,30397,62681,48.49475917742219,32284,0,0
Ian C. Calderon,A,57,DEM,2016,93339,148916,62.678959950576164,93339,1,1
Rita Topalian,A,57,REP,2016,55577,148916,37.321040049423836,93339,0,0
Ian Charles Calderon,A,57,DEM,2012,86644,136476,63.486620358158206,86644,1,0
Noel A. Jaimes,A,57,REP,2012,49832,136476,36.51337964184179,86644,0,0
Ira Ruskin,A,21,DEM,2004,98002,190120,51.54744371975595,98002,1,0
Steve Poizner,A,21,REP,2004,92118,190120,48.45255628024406,98002,0,0
Ira Ruskin,A,21,DEM,2006,95104,140418,67.729208506032,95104,1,1
Virginia Chang Kiraly,A,21,REP,2006,45314,140418,32.27079149396801,95104,0,0
"Irene ""Charlie"" LaChance",A,71,DEM,2006,33135,116780,28.373865387908886,83645,0,0
Todd Spitzer,A,71,REP,2006,83645,116780,71.6261346120911,83645,1,1
Isadore Hall,A,64,DEM,2012,100446,100446,100.0,100446,1,0
Jack D. Barlich,A,27,REP,2004,59076,188486,31.342380866483456,129410,0,0
John Laird,A,27,DEM,2004,129410,188486,68.65761913351655,129410,1,1
Jack N. Lee,A,66,LIB,2004,3671,148758,2.467766439451996,91606,0,0
Laurel Nicholson,A,66,DEM,2004,53481,148758,35.951679909651915,91606,0,0
Ray Haynes,A,66,REP,2004,91606,148758,61.580553650896086,91606,1,1
Jackie Goldberg,A,45,DEM,2004,62091,81751,75.95136450930265,62091,1,1
Oscar A. Gutierrez,A,45,REP,2004,19660,81751,24.04863549069736,62091,0,0
Jacqui Irwin,A,44,DEM,2014,57098,109183,52.29568705750896,57098,1,0
Rob McCoy,A,44,REP,2014,52085,109183,47.70431294249104,57098,0,0
Jacqui Irwin,A,44,DEM,2016,107084,181501,58.99912397176875,107084,1,1
Kerry J. Nelson,A,44,REP,2016,74417,181501,41.00087602823125,107084,0,0
James Gallagher,A,3,REP,2014,69552,110284,63.0662652787349,69552,1,0
Jim Reed,A,3,DEM,2014,40732,110284,36.9337347212651,69552,0,0
"James I. ""Jim"" Faison",A,16,REP,2008,18817,154883,12.149170664307897,136066,0,0
Sandré R. Swanson,A,16,DEM,2008,136066,154883,87.85082933569211,136066,1,0
"James I. ""Jim"" Faison",A,16,REP,2010,14692,118683,12.379194998441227,99082,0,0
Lisa D. Ringer,A,16,LIB,2010,4909,118683,4.136228440467464,99082,0,0
Sandr̩ R. Swanson,A,16,DEM,2010,99082,118683,83.4845765610913,99082,1,0
James Lex Bufford,A,25,DEM,2006,42158,127875,32.96813294232649,79594,0,0
"Michael "" Mike"" Dell'Orto",A,25,LIB,2006,6123,127875,4.7882697947214075,79594,0,0
Tom Berryhill,A,25,REP,2006,79594,127875,62.2435972629521,79594,1,0
Jane Barnett,A,43,REP,2008,43492,135355,32.13180155886373,91863,0,0
Paul Krekorian,A,43,DEM,2008,91863,135355,67.86819844113627,91863,1,1
Jane Kim,S,11,DEM,2016,201316,410778,49.008466860445296,209462,0,0
Scott Wiener,S,11,DEM,2016,209462,410778,50.991533139554704,209462,1,0
Janet Nguyen,S,34,REP,2014,95792,165012,58.051535645892415,95792,1,0
Jose Solorio,S,34,DEM,2014,69220,165012,41.94846435410758,95792,0,0
Jared Huffman,A,6,DEM,2008,145142,208985,69.45091752996626,145142,1,1
Paul Lavery,A,6,REP,2008,50053,208985,23.95052276479173,145142,0,0
Timothy J. Hannan,A,6,LIB,2008,13790,208985,6.598559705242003,145142,0,0
Jason P. Clark,A,17,REP,2012,25728,186852,13.769186307880032,161124,0,0
Tom Ammiano,A,17,DEM,2012,161124,186852,86.23081369211997,161124,1,0
Jay Obernolte,A,33,REP,2014,46144,69972,65.94637855142057,46144,1,0
John Coffey,A,33,DEM,2014,23828,69972,34.05362144857943,46144,0,0
Jay Obernolte,A,33,REP,2016,84000,140086,59.963165484059786,84000,1,1
Scott Markovich,A,33,DEM,2016,56086,140086,40.03683451594021,84000,0,0
Jean Fuller,A,32,REP,2006,85055,118649,71.68623418655025,85055,1,0
Maribel Vega,A,32,DEM,2006,33594,118649,28.313765813449756,85055,0,0
Jean Fuller,A,32,REP,2008,120628,174417,69.16068961167777,120628,1,1
Virginia Martinez,A,32,DEM,2008,53789,174417,30.83931038832224,120628,0,0
Jean Fuller,S,16,REP,2014,122700,168512,72.81380554500569,122700,1,0
Ruth Musser-Lopez,S,16,DEM,2014,45812,168512,27.186194454994308,122700,0,0
Jean Roesch,A,79,REP,2006,23395,62832,37.234211866564806,39437,0,0
Mary Salas,A,79,DEM,2006,39437,62832,62.765788133435194,39437,1,0
Jeane Ensley,A,62,REP,2010,19319,63925,30.22135314822057,44606,0,0
Wilmer Amina Carter,A,62,DEM,2010,44606,63925,69.77864685177943,44606,1,1
Jeff Miller,A,71,REP,2008,149166,149166,100.0,149166,1,0
Jeff Miller,S,31,REP,2012,108320,242202,44.72299981007588,133882,0,0
Richard Roth,S,31,DEM,2012,133882,242202,55.27700018992411,133882,1,0
Jeffers MacArthur Dodge,A,47,REP,2006,15096,99770,15.130800841936454,84674,0,0
Karen Bass,A,47,DEM,2006,84674,99770,84.86919915806355,84674,1,1
Jennifer Osborne,A,76,LIB,2004,7918,172839,4.581141987630106,93601,0,0
Lori Saldana,A,76,DEM,2004,93601,172839,54.15502288256702,93601,1,0
Tricia Hunter,A,76,REP,2004,71320,172839,41.26383512980288,93601,0,0
Jenny Oropeza,A,55,DEM,2004,73594,110394,66.66485497400221,73594,1,1
Margherita Underhill,A,55,REP,2004,36800,110394,33.33514502599779,73594,0,0
Jerald Udinsky,A,16,REP,2004,16903,143195,11.804183106952058,126292,0,0
Wilma Chan,A,16,DEM,2004,126292,143195,88.19581689304795,126292,1,1
Jerry Fritts,A,4,GRN,2006,5025,164807,3.0490209760507745,96958,0,0
Michael Patrick Murphy,A,4,LIB,2006,5423,164807,3.290515572760866,96958,0,0
Robert Haswell,A,4,DEM,2006,57401,164807,34.82922448682398,96958,0,0
Ted Gaines,A,4,REP,2006,96958,164807,58.831238964364374,96958,1,0
Jerry Hill,S,13,DEM,2012,218775,331096,66.07600212627153,218775,1,0
Sally J. Lieber,S,13,DEM,2012,112321,331096,33.92399787372847,218775,0,0
Jerry Hill,S,13,DEM,2016,296400,390669,75.86985401964323,296400,1,1
Rick Ciardella,S,13,REP,2016,94269,390669,24.130145980356772,296400,0,0
Jerry Kowal,A,45,REP,2016,56257,167405,33.60532839520922,111148,0,0
Matt Dababneh,A,45,DEM,2016,111148,167405,66.39467160479077,111148,1,1
Jill Buck,A,18,REP,2006,32897,102308,32.15486569965203,69411,0,0
Mary Hayashi,A,18,DEM,2006,69411,102308,67.84513430034796,69411,1,0
Jill Stone,S,29,LIB,2008,21983,327674,6.708802041052999,178155,0,0
Joseph M. Lyons,S,29,DEM,2008,127536,327674,38.921611113484744,178155,0,0
"Robert ""Bob"" Huff",S,29,REP,2008,178155,327674,54.36958684546226,178155,1,0
Jim Beall,A,24,DEM,2006,75769,116128,65.24610774317993,75769,1,0
Lawrence R. Hileman,A,24,REP,2006,36425,116128,31.366251033342518,75769,0,0
Lionel H. Silva,A,24,LIB,2006,3934,116128,3.387641223477542,75769,0,0
Jim Beall,A,24,DEM,2010,81526,131613,61.94372896294439,81526,1,0
Robert Chandler,A,24,REP,2010,50087,131613,38.05627103705561,81526,0,0
Jim Beall,S,15,DEM,2012,160451,282796,56.73736545071358,160451,1,0
Joe Coto,S,15,DEM,2012,122345,282796,43.26263454928641,160451,0,0
Jim Beall,S,15,DEM,2016,196089,313531,62.54214096851667,196089,1,1
Nora Campos,S,15,DEM,2016,117442,313531,37.45785903148333,196089,0,0
